Sample_ID,New_ID,Site,Population,Year,Geo_Region,Collection,ID.1,Project,ProcessingSheetId,Result.File.Type,Old_Site,Paper_ID,Extraction.Plate,Position,Nanodrop.ng.uL,X260.280,X260.230,Qubit..ng.uL.,Quality.Sample.Plate,Position.1,Volume,Volume.for.150.ng,Volume.Dispensed,Submission.Plate,Position.2,Volume.1,Qubit..ng.uL..1,Notes
NS.1481.002.IDT_i7_42---IDT_i5_42.12,Sweetwater_2011_South_12,Sweetwater,S02,2011,South,Timeseries,12,Mimulus Timeseries Population Angert 2020,12_MPS12345925_D06,FASTQ,Sweetwater,1,02-Jan,A2,216.4,1.9,1.8,13,Mimulus Plate 1 Quality Extractions Aug 2020,D2,30,12,25,Angert Mimulus Ð 1,D2,25,13,
NS.1481.002.IDT_i7_54---IDT_i5_54.13,Sweetwater_2011_South_13,Sweetwater,S02,2011,South,Timeseries,13,Mimulus Timeseries Population Angert 2020,13_MPS12345925_E06,FASTQ,Sweetwater,1,02-Jan,B2,332.4,1.9,2,14.1,Mimulus Plate 1 Quality Extractions Aug 2020,E2,30,11,25,Angert Mimulus Ð 1,E2,25,14.1,
NS.1493.004.IDT_i7_126---IDT_i5_126.14,Sweetwater_2011_South_14,Sweetwater,S02,2011,South,Timeseries,14,Mimulus Timeseries Population Angert 2020,14_MPS12345945_C01,FASTQ,Sweetwater,1,03-Jan,F1,21.8,2.1,1.9,3,Mimulus Plate 1 Quality Extractions Aug 2020,F2,70,50,50,Angert Mimulus Ð 1,F2,50,3.02,
NS.1481.002.IDT_i7_78---IDT_i5_78.15,Sweetwater_2011_South_15,Sweetwater,S02,2011,South,Timeseries,15,Mimulus Timeseries Population Angert 2020,15_MPS12345925_G06,FASTQ,Sweetwater,1,R-4,A7,32.2,1.8,1.5,15.9,Mimulus Plate 1 Quality Extractions Aug 2020,G2,45,10,25,Angert Mimulus Ð 1,G2,25,15.9,
NS.1481.002.IDT_i7_90---IDT_i5_90.16,Sweetwater_2012_South_16,Sweetwater,S02,2012,South,Timeseries,16,Mimulus Timeseries Population Angert 2020,16_MPS12345925_H06,FASTQ,Sweetwater,1,03-Jan,H1,24.1,1.9,1.9,12.8,Mimulus Plate 1 Quality Extractions Aug 2020,H2,70,12,25,Angert Mimulus Ð 1,H2,25,12.8,
NS.1481.002.IDT_i7_7---IDT_i5_7.17,Sweetwater_2012_South_17,Sweetwater,S02,2012,South,Timeseries,17,Mimulus Timeseries Population Angert 2020,17_MPS12345925_A07,FASTQ,Sweetwater,1,03-Jan,A2,13.6,1.8,1.9,6.2,Mimulus Plate 1 Quality Extractions Aug 2020,A3,70,25,25,Angert Mimulus Ð 1,A3,25,6.17,
NS.1481.002.IDT_i7_19---IDT_i5_19.18,Sweetwater_2012_South_18,Sweetwater,S02,2012,South,Timeseries,18,Mimulus Timeseries Population Angert 2020,18_MPS12345925_B07,FASTQ,Sweetwater,1,R-2,B3,129.8,1.9,2.4,22.2,Mimulus Plate 1 Quality Extractions Aug 2020,B3,45,7,25,Angert Mimulus Ð 1,B3,25,22.2,
NS.1481.002.IDT_i7_31---IDT_i5_31.19,Sweetwater_2012_South_19,Sweetwater,S02,2012,South,Timeseries,19,Mimulus Timeseries Population Angert 2020,19_MPS12345925_C07,FASTQ,Sweetwater,1,R-3,D1,171.6,1.9,2,27.3,Mimulus Plate 1 Quality Extractions Aug 2020,C3,40,6,25,Angert Mimulus Ð 1,C3,25,27.3,
NS.1480.001.IDT_i7_191---IDT_i5_191.20,Sweetwater_2012_South_20,Sweetwater,S02,2012,South,Timeseries,20,Test on 12 preliminary samples,20_MPS12345361_E08,FASTQ,Sweetwater,1,02-Jan,A3,384.6,1.9,2,10,Mimulus Plate 1 Quality Extractions Aug 2020,D3,30,16,NA,Angert Mimulus Ð 1,D3,NA,9.98,
NS.1493.004.IDT_i7_138---IDT_i5_138.21,Sweetwater_2012_South_21,Sweetwater,S02,2012,South,Timeseries,21,Mimulus Timeseries Population Angert 2020,21_MPS12345945_D01,FASTQ,Sweetwater,1,03-Jan,D2,14,1.8,1.9,8.7,Mimulus Plate 1 Quality Extractions Aug 2020,E3,70,18,25,Angert Mimulus Ð 1,E3,25,8.67,
NS.1481.002.IDT_i7_55---IDT_i5_55.22,Sweetwater_2013_South_22,Sweetwater,S02,2013,South,Timeseries,22,Mimulus Timeseries Population Angert 2020,22_MPS12345925_E07,FASTQ,Sweetwater,1,R-3,E1,106.2,1.8,1.9,30.3,Mimulus Plate 1 Quality Extractions Aug 2020,F3,45,5,25,Angert Mimulus Ð 1,F3,25,30.3,
NS.1493.004.IDT_i7_150---IDT_i5_150.23,Sweetwater_2013_South_23,Sweetwater,S02,2013,South,Timeseries,23,Mimulus Timeseries Population Angert 2020,23_MPS12345945_E01,FASTQ,Sweetwater,1,03-Jan,F2,5,2.1,1.6,2.9,Mimulus Plate 1 Quality Extractions Aug 2020,G3,65,50,50,Angert Mimulus Ð 1,G3,50,2.94,
NS.1481.002.IDT_i7_79---IDT_i5_79.24,Sweetwater_2013_South_24,Sweetwater,S02,2013,South,Timeseries,24,Mimulus Timeseries Population Angert 2020,24_MPS12345925_G07,FASTQ,Sweetwater,1,R-3,F1,55.9,1.8,1.9,27.6,Mimulus Plate 1 Quality Extractions Aug 2020,H3,43,6,25,Angert Mimulus Ð 1,H3,25,27.6,
NS.1481.002.IDT_i7_91---IDT_i5_91.25,Sweetwater_2013_South_25,Sweetwater,S02,2013,South,Timeseries,25,Mimulus Timeseries Population Angert 2020,25_MPS12345925_H07,FASTQ,Sweetwater,1,R-3,G1,53.7,1.9,1.6,16.6,Mimulus Plate 1 Quality Extractions Aug 2020,A4,43,10,25,Angert Mimulus Ð 1,A4,25,16.6,
NS.1481.002.IDT_i7_8---IDT_i5_8.26,Sweetwater_2013_South_26,Sweetwater,S02,2013,South,Timeseries,26,Mimulus Timeseries Population Angert 2020,26_MPS12345925_A08,FASTQ,Sweetwater,1,02-Jan,G3,369.6,1.9,1.7,10.4,Mimulus Plate 1 Quality Extractions Aug 2020,B4,30,15,25,Angert Mimulus Ð 1,B4,25,10.4,
NS.1481.002.IDT_i7_28---IDT_i5_28.27,Sweetwater_2013_South_27,Sweetwater,S02,2013,South,Timeseries,27,Mimulus Timeseries Population Angert 2020,27_MPS12345925_C04,FASTQ,Sweetwater,1,R-5,C1,111.6,1.8,2.4,67.4,Mimulus Plate 1 Quality Extractions Aug 2020,C4,30,3,25,Angert Mimulus Ð 1,C4,25,67.4,
NS.1481.002.IDT_i7_40---IDT_i5_40.28,Sweetwater_2014_South_28,Sweetwater,S02,2014,South,Timeseries,28,Mimulus Timeseries Population Angert 2020,28_MPS12345925_D04,FASTQ,Sweetwater,1,R-5,D1,180.7,1.8,2.1,74.4,Mimulus Plate 1 Quality Extractions Aug 2020,D4,30,3,25,Angert Mimulus Ð 1,D4,25,74.4,
NS.1493.004.IDT_i7_162---IDT_i5_162.29,Sweetwater_2014_South_29,Sweetwater,S02,2014,South,Timeseries,29,Mimulus Timeseries Population Angert 2020,29_MPS12345945_F01,FASTQ,Sweetwater,1,03-Jan,C3,22.3,1.9,1.9,8.2,Mimulus Plate 1 Quality Extractions Aug 2020,E4,70,19,25,Angert Mimulus Ð 1,E4,25,8.2,
NS.1481.002.IDT_i7_32---IDT_i5_32.30,Sweetwater_2014_South_30,Sweetwater,S02,2014,South,Timeseries,30,Mimulus Timeseries Population Angert 2020,30_MPS12345925_C08,FASTQ,Sweetwater,1,R-3,A2,165.1,1.9,2.1,20.2,Mimulus Plate 1 Quality Extractions Aug 2020,F4,40,8,25,Angert Mimulus Ð 1,F4,25,20.2,
NS.1493.004.IDT_i7_53---IDT_i5_53.31,Sweetwater_2014_South_31,Sweetwater,S02,2014,South,Timeseries,31,Mimulus Timeseries Population Angert 2020,31_MPS12346083_E04,FASTQ,Sweetwater,1,R-4,E7,21.3,1.7,1.6,4.3,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,A12,40,35,40,Angert Mimulus Ð 8,A12,40,4.3,
NS.1493.004.IDT_i7_174---IDT_i5_174.32,Sweetwater_2014_South_32,Sweetwater,S02,2014,South,Timeseries,32,Mimulus Timeseries Population Angert 2020,32_MPS12345945_G01,FASTQ,Sweetwater,1,03-Jan,E3,39.4,1.8,2.2,20.3,Mimulus Plate 1 Quality Extractions Aug 2020,G4,70,8,25,Angert Mimulus Ð 1,G4,25,20.3,
NS.1481.002.IDT_i7_52---IDT_i5_52.33,Sweetwater_2014_South_33,Sweetwater,S02,2014,South,Timeseries,33,Mimulus Timeseries Population Angert 2020,33_MPS12345925_E04,FASTQ,Sweetwater,1,R-3,B2,309.6,1.9,2.2,55.8,Mimulus Plate 1 Quality Extractions Aug 2020,H4,43,3,25,Angert Mimulus Ð 1,H4,25,55.8,
NS.1481.002.IDT_i7_64---IDT_i5_64.34,Sweetwater_2014_South_34,Sweetwater,S02,2014,South,Timeseries,34,Mimulus Timeseries Population Angert 2020,34_MPS12345925_F04,FASTQ,Sweetwater,1,R-4,F7,367.2,1.9,2.3,63.5,Mimulus Plate 1 Quality Extractions Aug 2020,A5,43,3,25,Angert Mimulus Ð 1,A5,25,63.5,
NS.1481.002.IDT_i7_56---IDT_i5_56.35,Sweetwater_2014_South_35,Sweetwater,S02,2014,South,Timeseries,35,Mimulus Timeseries Population Angert 2020,35_MPS12345925_E08,FASTQ,Sweetwater,1,R-3,C2,133.6,1.9,2,23,Mimulus Plate 1 Quality Extractions Aug 2020,B5,43,7,25,Angert Mimulus Ð 1,B5,25,23,
NS.1481.002.IDT_i7_68---IDT_i5_68.36,Sweetwater_2014_South_36,Sweetwater,S02,2014,South,Timeseries,36,Mimulus Timeseries Population Angert 2020,36_MPS12345925_F08,FASTQ,Sweetwater,1,R-3,D2,120,1.9,2,22.7,Mimulus Plate 1 Quality Extractions Aug 2020,C5,43,7,25,Angert Mimulus Ð 1,C5,25,22.7,
NS.1481.002.IDT_i7_80---IDT_i5_80.37,Sweetwater_2014_South_37,Sweetwater,S02,2014,South,Timeseries,37,Mimulus Timeseries Population Angert 2020,37_MPS12345925_G08,FASTQ,Sweetwater,1,R-5,G1,88.9,1.9,2.1,39.2,Mimulus Plate 1 Quality Extractions Aug 2020,D5,30,4,25,Angert Mimulus Ð 1,D5,25,39.2,
NS.1481.002.IDT_i7_92---IDT_i5_92.38,WFMojave_2010_South_38,WFMojave,S07,2010,South,Both,38,Mimulus Timeseries Population Angert 2020,38_MPS12345925_H08,FASTQ,WF Mojave,2,02-Jan,B5,70,1.8,2,5.7,Mimulus Plate 1 Quality Extractions Aug 2020,E5,30,27,27,Angert Mimulus Ð 1,E5,27,5.7,
NS.1481.002.IDT_i7_76---IDT_i5_76.39,WFMojave_2010_South_39,WFMojave,S07,2010,South,Both,39,Mimulus Timeseries Population Angert 2020,39_MPS12345925_G04,FASTQ,WF Mojave,2,R-4,G7,398.1,1.9,2.3,80.8,Mimulus Plate 1 Quality Extractions Aug 2020,F5,45,2,25,Angert Mimulus Ð 1,F5,25,80.8,
NS.1493.004.IDT_i7_186---IDT_i5_186.40,WFMojave_2010_South_40,WFMojave,S07,2010,South,Both,40,Mimulus Timeseries Population Angert 2020,40_MPS12345945_H01,FASTQ,WF Mojave,2,03-Jan,D4,38.4,2,2.2,21.8,Mimulus Plate 1 Quality Extractions Aug 2020,G5,70,7,25,Angert Mimulus Ð 1,G5,25,21.8,
NS.1481.002.IDT_i7_21---IDT_i5_21.41,WFMojave_2010_South_41,WFMojave,S07,2010,South,Both,41,Mimulus Timeseries Population Angert 2020,41_MPS12345925_B09,FASTQ,WF Mojave,2,R-4,H7,125.6,1.8,1.9,48.1,Mimulus Plate 1 Quality Extractions Aug 2020,H5,45,4,25,Angert Mimulus Ð 1,H5,25,48.1,
NS.1493.004.IDT_i7_103---IDT_i5_103.42,WFMojave_2011_South_42,WFMojave,S07,2011,South,Timeseries,42,Mimulus Timeseries Population Angert 2020,42_MPS12345945_A02,FASTQ,WF Mojave,2,03-Jan,F4,15.4,1.9,1.9,6.4,Mimulus Plate 1 Quality Extractions Aug 2020,A6,70,24,25,Angert Mimulus Ð 1,A6,25,6.35,
NS.1481.002.IDT_i7_45---IDT_i5_45.43,WFMojave_2011_South_43,WFMojave,S07,2011,South,Timeseries,43,Mimulus Timeseries Population Angert 2020,43_MPS12345925_D09,FASTQ,WF Mojave,2,R-4,A8,181.6,2,2.1,38.7,Mimulus Plate 1 Quality Extractions Aug 2020,B6,43,4,25,Angert Mimulus Ð 1,B6,25,38.7,
NS.1481.002.IDT_i7_57---IDT_i5_57.44,WFMojave_2011_South_44,WFMojave,S07,2011,South,Timeseries,44,Mimulus Timeseries Population Angert 2020,44_MPS12345925_E09,FASTQ,WF Mojave,2,01-Jan,C6,325.8,1.8,1.9,41,Mimulus Plate 1 Quality Extractions Aug 2020,C6,30,4,25,Angert Mimulus Ð 1,C6,25,41,
NS.1481.002.IDT_i7_69---IDT_i5_69.45,WFMojave_2011_South_45,WFMojave,S07,2011,South,Timeseries,45,Mimulus Timeseries Population Angert 2020,45_MPS12345925_F09,FASTQ,WF Mojave,2,01-Jan,D6,169.7,1.8,1.9,30.2,Mimulus Plate 1 Quality Extractions Aug 2020,D6,30,5,25,Angert Mimulus Ð 1,D6,25,30.2,
NS.1493.004.IDT_i7_115---IDT_i5_115.46,WFMojave_2011_South_46,WFMojave,S07,2011,South,Timeseries,46,Mimulus Timeseries Population Angert 2020,46_MPS12345945_B02,FASTQ,WF Mojave,2,01-Jan,E6,192.3,1.9,1.6,41,Mimulus Plate 1 Quality Extractions Aug 2020,E6,30,4,25,Angert Mimulus Ð 1,E6,25,41,
NS.1481.002.IDT_i7_93---IDT_i5_93.47,WFMojave_2011_South_47,WFMojave,S07,2011,South,Timeseries,47,Mimulus Timeseries Population Angert 2020,47_MPS12345925_H09,FASTQ,WF Mojave,2,01-Jan,F6,162.2,1.9,1.8,14.2,Mimulus Plate 1 Quality Extractions Aug 2020,F6,30,11,25,Angert Mimulus Ð 1,F6,25,14.2,
NS.1481.002.IDT_i7_10---IDT_i5_10.48,WFMojave_2014_South_48,WFMojave,S07,2014,South,Timeseries,48,Mimulus Timeseries Population Angert 2020,48_MPS12345925_A10,FASTQ,WF Mojave,2,R-4,B8,80.1,1.9,1.8,3.9,Mimulus Plate 1 Quality Extractions Aug 2020,G6,45,39,39,Angert Mimulus Ð 1,G6,39,3.93,
NS.1481.002.IDT_i7_88---IDT_i5_88.49,WFMojave_2014_South_49,WFMojave,S07,2014,South,Timeseries,49,Mimulus Timeseries Population Angert 2020,49_MPS12345925_H04,FASTQ,WF Mojave,2,R-5,A2,137.6,1.8,2,55,Mimulus Plate 1 Quality Extractions Aug 2020,H6,30,3,25,Angert Mimulus Ð 1,H6,25,55,
NS.1481.002.IDT_i7_22---IDT_i5_22.50,WFMojave_2014_South_50,WFMojave,S07,2014,South,Timeseries,50,Mimulus Timeseries Population Angert 2020,50_MPS12345925_B10,FASTQ,WF Mojave,2,02-Jan,B6,122,1.8,1.9,4.5,Mimulus Plate 1 Quality Extractions Aug 2020,A7,30,34,25,Angert Mimulus Ð 1,A7,25,4.54,
NS.1481.002.IDT_i7_34---IDT_i5_34.51,WFMojave_2014_South_51,WFMojave,S07,2014,South,Timeseries,51,Mimulus Timeseries Population Angert 2020,51_MPS12345925_C10,FASTQ,WF Mojave,2,R-3,E2,292,1.9,2.2,52.6,Mimulus Plate 1 Quality Extractions Aug 2020,B7,45,3,25,Angert Mimulus Ð 1,B7,25,52.6,
NS.1481.002.IDT_i7_46---IDT_i5_46.52,WFMojave_2014_South_52,WFMojave,S07,2014,South,Timeseries,52,Mimulus Timeseries Population Angert 2020,52_MPS12345925_D10,FASTQ,WF Mojave,2,03-Jan,B5,16.3,1.9,1.9,3,Mimulus Plate 1 Quality Extractions Aug 2020,C7,70,50,50,Angert Mimulus Ð 1,C7,50,3.02,
NS.1481.002.IDT_i7_58---IDT_i5_58.53,WFMojave_2014_South_53,WFMojave,S07,2014,South,Timeseries,53,Mimulus Timeseries Population Angert 2020,53_MPS12345925_E10,FASTQ,WF Mojave,2,02-Jan,D6,186.8,1.9,1.7,12.4,Mimulus Plate 1 Quality Extractions Aug 2020,D7,30,13,25,Angert Mimulus Ð 1,D7,25,12.4,
NS.1481.002.IDT_i7_70---IDT_i5_70.54,WFMojave_2014_South_54,WFMojave,S07,2014,South,Timeseries,54,Mimulus Timeseries Population Angert 2020,54_MPS12345925_F10,FASTQ,WF Mojave,2,R-5,D5,80.4,1.9,2.4,41.8,Mimulus Plate 1 Quality Extractions Aug 2020,E7,30,4,25,Angert Mimulus Ð 1,E7,25,41.8,
NS.1480.001.IDT_i7_97---IDT_i5_97.55,WFMojave_2014_South_55,WFMojave,S07,2014,South,Timeseries,55,Test on 12 preliminary samples,55_MPS12345361_F08,FASTQ,WF Mojave,2,R-5,E5,225.7,1.9,2.4,82.1,Mimulus Plate 1 Quality Extractions Aug 2020,F7,30,2,NA,Angert Mimulus Ð 1,F7,NA,82.1,
NS.1481.002.IDT_i7_94---IDT_i5_94.57,WFMojave_2014_South_57,WFMojave,S07,2014,South,Timeseries,57,Mimulus Timeseries Population Angert 2020,57_MPS12345925_H10,FASTQ,WF Mojave,2,01-Jan,H7,151,1.8,3.2,16.3,Mimulus Plate 1 Quality Extractions Aug 2020,H7,23,10,25,Angert Mimulus Ð 1,H7,25,16.3,
NS.1480.001.IDT_i7_109---IDT_i5_109.58,WFMojave_2015_South_58,WFMojave,S07,2015,South,Timeseries,58,Test on 12 preliminary samples,58_MPS12345361_G08,FASTQ,WF Mojave,2,02-Jan,G6,342.4,1.8,2.2,5,Mimulus Plate 1 Quality Extractions Aug 2020,A8,30,31,NA,Angert Mimulus Ð 1,A8,NA,4.96,
NS.1481.002.IDT_i7_11---IDT_i5_11.59,WFMojave_2015_South_59,WFMojave,S07,2015,South,Timeseries,59,Mimulus Timeseries Population Angert 2020,59_MPS12345925_A11,FASTQ,WF Mojave,2,02-Jan,H6,87.1,2,1.6,3.1,Mimulus Plate 1 Quality Extractions Aug 2020,B8,30,49,25,Angert Mimulus Ð 1,B8,25,3.12,
NS.1481.002.IDT_i7_23---IDT_i5_23.60,WFMojave_2015_South_60,WFMojave,S07,2015,South,Timeseries,60,Mimulus Timeseries Population Angert 2020,60_MPS12345925_B11,FASTQ,WF Mojave,2,02-Jan,A7,215.9,1.8,2,14.3,Mimulus Plate 1 Quality Extractions Aug 2020,C8,30,11,25,Angert Mimulus Ð 1,C8,25,14.3,
NS.1481.002.IDT_i7_35---IDT_i5_35.61,WFMojave_2015_South_61,WFMojave,S07,2015,South,Timeseries,61,Mimulus Timeseries Population Angert 2020,61_MPS12345925_C11,FASTQ,WF Mojave,2,02-Jan,B7,85.6,1.8,1.6,9.6,Mimulus Plate 1 Quality Extractions Aug 2020,D8,30,16,25,Angert Mimulus Ð 1,D8,25,9.58,
NS.1480.001.IDT_i7_143---IDT_i5_143.62,WFMojave_2015_South_62,WFMojave,S07,2015,South,Timeseries,62,Test on 12 preliminary samples,62_MPS12345361_A08,FASTQ,WF Mojave,2,R-3,F2,279.9,1.9,2.2,9.9,Mimulus Plate 1 Quality Extractions Aug 2020,E8,43,16,NA,Angert Mimulus Ð 1,E8,NA,9.92,
NS.1481.002.IDT_i7_47---IDT_i5_47.63,WFMojave_2015_South_63,WFMojave,S07,2015,South,Timeseries,63,Mimulus Timeseries Population Angert 2020,63_MPS12345925_D11,FASTQ,WF Mojave,2,01-Jan,F8,229.6,1.8,3.3,42.2,Mimulus Plate 1 Quality Extractions Aug 2020,F8,30,4,25,Angert Mimulus Ð 1,F8,25,42.2,
NS.1481.002.IDT_i7_59---IDT_i5_59.64,WFMojave_2015_South_64,WFMojave,S07,2015,South,Timeseries,64,Mimulus Timeseries Population Angert 2020,64_MPS12345925_E11,FASTQ,WF Mojave,2,02-Jan,D7,207.5,1.9,3,4,Mimulus Plate 1 Quality Extractions Aug 2020,G8,30,38,38,Angert Mimulus Ð 1,G8,38,4.04,
NS.1481.002.IDT_i7_71---IDT_i5_71.65,WFMojave_2016_South_65,WFMojave,S07,2016,South,Timeseries,65,Mimulus Timeseries Population Angert 2020,65_MPS12345925_F11,FASTQ,WF Mojave,2,01-Jan,H8,236.5,1.8,3,27.2,Mimulus Plate 1 Quality Extractions Aug 2020,H8,30,6,25,Angert Mimulus Ð 1,H8,25,27.2,
NS.1481.002.IDT_i7_83---IDT_i5_83.66,WFMojave_2016_South_66,WFMojave,S07,2016,South,Timeseries,66,Mimulus Timeseries Population Angert 2020,66_MPS12345925_G11,FASTQ,WF Mojave,2,01-Jan,A9,109.8,1.8,1.8,8.6,Mimulus Plate 1 Quality Extractions Aug 2020,A9,30,18,25,Angert Mimulus Ð 1,A9,25,8.62,
NS.1481.002.IDT_i7_95---IDT_i5_95.67,WFMojave_2016_South_67,WFMojave,S07,2016,South,Timeseries,67,Mimulus Timeseries Population Angert 2020,67_MPS12345925_H11,FASTQ,WF Mojave,2,03-Jan,E5,17.6,2,2,4.1,Mimulus Plate 1 Quality Extractions Aug 2020,B9,70,37,37,Angert Mimulus Ð 1,B9,37,4.06,
NS.1481.002.IDT_i7_12---IDT_i5_12.68,Redwoods_2011_Centre_68,Redwoods,S08,2011,Centre,Timeseries,68,Mimulus Timeseries Population Angert 2020,68_MPS12345925_A12,FASTQ,Redwoods,4,03-Jan,F5,18,1.7,1.8,13.2,Mimulus Plate 1 Quality Extractions Aug 2020,C9,70,12,25,Angert Mimulus Ð 1,C9,25,13.2,
NS.1481.002.IDT_i7_5---IDT_i5_5.69,Redwoods_2011_Centre_69,Redwoods,S08,2011,Centre,Timeseries,69,Mimulus Timeseries Population Angert 2020,69_MPS12345925_A05,FASTQ,Redwoods,4,R-4,C8,172.1,1.8,2,97.8,Mimulus Plate 1 Quality Extractions Aug 2020,D9,45,2,25,Angert Mimulus Ð 1,D9,25,97.8,
NS.1481.002.IDT_i7_24---IDT_i5_24.70,Redwoods_2012_Centre_70,Redwoods,S08,2012,Centre,Timeseries,70,Mimulus Timeseries Population Angert 2020,70_MPS12345925_B12,FASTQ,Redwoods,4,R-4,E8,139.8,1.8,1.9,55.5,Mimulus Plate 1 Quality Extractions Aug 2020,E9,45,3,25,Angert Mimulus Ð 1,E9,25,55.5,
NS.1481.002.IDT_i7_36---IDT_i5_36.71,Redwoods_2012_Centre_71,Redwoods,S08,2012,Centre,Timeseries,71,Mimulus Timeseries Population Angert 2020,71_MPS12345925_C12,FASTQ,Redwoods,4,01-Jan,F9,79.7,1.8,1.8,11.7,Mimulus Plate 1 Quality Extractions Aug 2020,F9,30,13,25,Angert Mimulus Ð 1,F9,25,11.7,
NS.1481.002.IDT_i7_48---IDT_i5_48.72,Redwoods_2012_Centre_72,Redwoods,S08,2012,Centre,Timeseries,72,Mimulus Timeseries Population Angert 2020,72_MPS12345925_D12,FASTQ,Redwoods,4,01-Jan,G9,75.8,1.9,1.8,4.2,Mimulus Plate 1 Quality Extractions Aug 2020,G9,30,36,29,Angert Mimulus Ð 1,G9,29,4.22,insufficent
NS.1481.002.IDT_i7_60---IDT_i5_60.73,Redwoods_2012_Centre_73,Redwoods,S08,2012,Centre,Timeseries,73,Mimulus Timeseries Population Angert 2020,73_MPS12345925_E12,FASTQ,Redwoods,4,03-Jan,A6,18,1.7,1.7,6.9,Mimulus Plate 1 Quality Extractions Aug 2020,H9,70,22,35,Angert Mimulus Ð 1,H9,35,6.89,
